name,title,description,datatype,required
tripUid,Ідентифікатор рейсу,Ідентифікатор рейсу з таблиці trips (колонка uid). Наприклад: 25,string,True
arrivalTime,Час прибуття,"Час прибуття транспортного засобу на зупинку під час конкретного рейсу у форматі гг:хх:сс (24-годинний формат). Наприклад: 09:34:00. Якщо не визначено окремий час для прибуття і відправлення, у колонках arrivalTime та departureTime записується однакове значення. Час прибуття обов’язково вказується для першої та останньої зупинки поїздки",time,True
departureTime,Час відправлення,"Час відправлення транспортного засобу від зупинки під час конкретного рейсу у форматі гг:хх:сс (24-годинний формат). Наприклад: 09:34:00. Якщо не визначено окремий час для прибуття і відправлення, у колонках arrivalTime та departureTime записується однакове значення. Час прибуття обов’язково вказується для першої та останньої зупинки поїздки",time,True
stopId,Ідентифікатор зупинки,Ідентифікатор зупинки громадського транспорту або станції з таблиці stops (колонка uid),string,True
stopSequence,Порядок зупинки,"Порядковий номер зупинки на рейсі. Значення мають зростати, однак можуть бути непослідовними. Перша зупинка (відправлення) має номер 1, друга – 2, третя – 7. Наприклад: 2",integer,True
stopHeadsign,Напрямок руху,"Напрямок руху на рейсі з даної зупинки, що зазначається у графіках або на інформаційних табло. Наприклад: Індустріальний мікрорайон",string,False
pickupType,Тип посадки,"Наявність зупинки руху для посадки пасажирів кодується такими цифрами: 0 – посадка проводиться регулярно відповідно до графіка, 1 – посадка пасажирів не проводиться. Наприклад: 0. Незаповнена колонка означає “посадка проводиться регулярно”",integer,False
dropOffType,Тип висадки,"Наявність зупинки руху для висадки пасажирів кодується такими цифрами: 0 – висадка проводиться регулярно відповідно до графіка, 1 – висадка пасажирів не проводиться. Наприклад: 0. Незаповнена колонка означає “висадка проводиться регулярно”",integer,False
shapeDistTraveled,Подолана відстань,"Подолана відстань від початку поїздки у кілометрах. Розділювачем десяткових значень є крапка. Наприклад, якщо автобус здолав 5.25 км від початку поїздки до зупинки, вказується 5.25",string,False
timepoint,Точність,"Точність прибуття та відправлення транспорту від зупинки кодується такими числами: 0 — приблизний час, 1 — точний час. Порожня комірка означає точний час. Незаповнена колонка означає “точний час”",string,False
